student_star,student_difficult,comments,gives_good_feedback,caring,respected,participation_matters,clear_grading_criteria,skip_class,amazing_lectures,inspirational,tough_grader,hilarious,get_ready_to_read,lots_of_homework,accessible_outside_class,lecture_heavy,extra_credit,graded_by_few_things,group_projects,test_heavy,so_many_papers,beware_of_pop_quizzes,IsCourseOnline
5.0,3.0,jan effect teach style teacher ive met materi difficult make easi well seri paper write get bad score let rewrit better score continu rewrit get score wantwel prepar helpful,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
1.5,4.0,guy quack never understand say,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,3.0,warden mind sort like lotteri ball machin everi ball come fire small piec inform never sequenti order nice guy though,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3.0,like talk cat diareha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,3.0,could despis man anymor lectur one random topic anoth alway late never know class partial doesnt wear watch lost everi singl one paper truli aw wast time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,2.0,lectur sleepinduc unless particip give lot credit studi sheet quizz know 2 expect test doabl read materi 8 page paper end im sick philau paper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,think much know much he great person work though sometim look like pain teachal sweat shame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,wonder teacher kind know stuff take,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,talk sooooooo much zzzzzwhere earth fair grader work particip class realli realli help grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,5.0,took onlin class elect regret take end inform interest tough grader test hard confus,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1
3.0,5.0,give quizz hard understand midterm final joke question twist way confus think main goal love class hate end classmat agre good luck need,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
4.0,3.0,best professor ive uvu show pay attent particip read learn lot get good grade,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
5.0,2.0,far one best professor ive ever doesnt give busi work consist check make sure understand materi great professor highli recommend,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
5.0,4.0,bryan awesom know stuff know teach understand make subject interest expect quit lot alway help came learn ton love subject,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
4.5,3.0,realli good professor know he talk will work test kind hard expect lot make fun pay attent well class make languag class final project,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
5.0,3.0,great teacher fun class two thumb total recommend professor other,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
5.0,2.0,take class bryan man read assign studi midterm final fine 1st half linguist might difficult explain well work languag creation project throughout semest great class love class discuss includ everyon take,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
3.0,5.0,take class master english care grammar content doesnt make clear point test thing doesnt teach not book nice man perhap not best teacher,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
5.0,3.0,languag culturethi class great patient linguist cultur part awesom warn get earn complet read everyth ask workbook assign brian hilari extrem fair fun class highli recommend,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
5.0,4.0,bryan one best asl deaf histori teacher ever pay attent cant go wrong,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
4.5,1.0,teacher year know alot deaf cultur histori linguist love lot fun educ not wouldnt abl know lot thing current,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
5.0,1.0,good like take time teach student care dont understand someth will actual help keep class entertain,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
2.0,5.0,disappoint class decid take asl class instructor also chang major class,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
5.0,4.0,knowledg topic asl clear easi read expect lot student make earn come away class improv skill asl knowledg topic relat deaf highli recomend,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
5.0,3.0,interest will help respect peopl oppinion knowledg subject,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
4.5,3.0,good asldeaf histori teacher well inform clear sign fair instructor,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
1.0,5.0,took onlin cours day midterm one turn next assign rest year 3 peopl turn homework took point incorrect comment not incorrect code hyperspecif bad teacher would not even help instal softwar properli gave no link onlin instruct either,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,5.0,professor not teach not actual care whether not student fail not give instruct rather grader give feedback not product tell wrong no help critic ego boost,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,4.0,not good job actual instruct cant meet schedul facetofac meet hour screw far learn good luck actual learn anyth,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5.0,give zero even smallest error not answer question help tell read book grade system complet outrag class follow ever grow set rule learn code not expect introductori code class,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5.0,although professor stick syllabu grade system outrag deduct 22 point first assign 20 point possibl not know make sens 10 singl incorrect output six correct give no credit correct line code deduct wrong one,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5.0,doesnt answer question wont meet student unless submit question first 60 class drop insult student doesnt grade fairli told troubl quizz told read book embarrass dmacc dont take class,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,5.0,syllabusannounc use 5 differ font list thing arent allow class isnt learn code rememb rule dont bother ask help wont answer question follow rule ask question respond not help,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,3.0,miss first assign move everi assign thereaft drop midterm not attend not give clear instruct doesnt seem care student get impress one peopl miser want everyon els miser well,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5.0,professor no concept teach class read warn sign wait refund date class actual assign homework list specif took full minut scroll doubl deduct point list differ way not take enjoy take point,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,5.0,horribl give no help student expect unrealist level perfect homework,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5.0,listen review avoid instructor cost start class first assign got 4 5 correct receiv 50 grade unrealist expect instructor drop class first quiz get refund,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5.0,teacher not inspir better programm take pride deduct mani point possibl want get 50 assign forgot comment chapterassign number didnt use 100 correct name convent even though program run flawlesslythen professor,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.0,5.0,shouldv listen everyon not sure guy still job unreal requir would not appli real world base want see not logic even work correct done ridicul specif manner order still lose point avoid cost,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5.0,book outdat one 9 year not explain way turn assign properli explan everyth repetit syllabu reread 4 open day requir meet insult student scare student give instruct discuss board download provid,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5.0,horribl instructor wish look take class chang anoth instructor immedi deduct point like go style fulli function solut document deduct point unclear technic,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,4.0,hand worst teacher ever drop not help take joy hand 0s consid warn,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.5,3.0,drop class immedi absolut not teach anyth not need assign flat said wouldnt answer question someth textbook wouldnt need assign better buy book use stackoverflow question,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,5.0,easili worst teacher ive ever idea teach read book would look excus give 0s assign got one 1st assign semest not late sent attach email instead use blackboard seem like collect paycheck,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.5,5.0,warn far worst onlin teacher no commun skill no desir help,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.5,4.0,show assign email personnel work adivs class wouldnt use real world,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4.0,4.0,know alot class long bore give good note,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,origin didnt enjoy woman howev unfortun stuck teach worst subject timei like alot person dri not interest she teach could blame give shot she ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,know realli hard unfair grader test horribl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,3.0,one word dri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,great teacher learn lot class help will meet class troubl though hard grader reason take class will learn work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,5.0,toughnot funni learn alot overal not bad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,4.0,help know stuff will help question may,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,5.0,bore dirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,4.0,horribl professor grade unfairli give grade project base first project grade bia toward girl terribl experi build tech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,4.0,talk like shabbi sheak ladi hgtv ohmygod inform help funni dri way no handout charli read freak novel expect us write scuse ive got carpel tunnel p would,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,great professor take profession,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,3.0,probabl one favorit studio lauren help profession well work detail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,4.0,dont get sick semest get no sympathi need nu wardrob safari attiregood thing design arch not cloth base grade per opinion not work best wish get stuck w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,2.0,love cours took beverli definit got practic inform could actual use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,beverli extrem help lot practic advic actual use learn class certainli isnt case rtc cours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,nice ladi clueless announc singl avail didnt help beg us give fivesi thought inappropri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,taken 8 rtc cours wors instructor late class not pay attent class present went pool one day wast time money,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,1.0,professor faunc fair teacher work get activ may seem elementari ed that program not,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3.0,complet 13th rtc cours far worst instructor ive would never take anoth cours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,1.0,she kind funni activ make feel like elementari school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,pluss hyster made comm research method bearabl no surpris final four quizz gave throughout semest four drop lowest one 5 assign 5 quizz includ final materi dri that not made bore class fun take,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
3.0,1.0,prof pluss sweet upbeat quizz 40 question howev drop lowest 4 group project final project easi studi quizz,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
2.0,5.0,took research method drop class half way nice ladi veryyyyi tough grader give f even work 5 fs even though work gave everyth time usual give 12 assign final research project lectur pretti long overal not reccomend,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
1.5,4.0,professor pluss grade assign harshli even put effort not clear explain materi class bore,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
4.0,3.0,believ chang teach style sinc last comment she class much 110 cours curv midterm final averag 70 would great higher level cours definit take easier professor class,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
5.0,3.0,great professor love class sso help teach interest way test quiz challeng good studi need know stuff fun class,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
5.0,1.0,best professor 2 project 2 exam pass class b not sure howev help need good grade want take cours say take class help great professor trust,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
5.0,1.0,she great professor give fantast introduct univers chanc take go,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
5.0,1.0,super nice ladi class super easi,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
4.5,1.0,easiest ever got easiest grader wpu told what go exam speech grade effort organ dont worri dont give powel obamalik deliveri,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
5.0,1.0,love professor awesom definitli take,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
5.0,1.0,excel professor love teach nice will help take pleasant work environ earth,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
5.0,1.0,easi ashort homework assign due weeekli easi midterm final,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
5.0,1.0,fair profth materi easi make interestingno midterm weekli hw assign speech papersi lot fun class think she great instructor sweet,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
3.0,2.0,nice woman realli not teach type semest learn maybe10 thing total kept repeat againsh pretti easi though final midterm speech paper,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
3.0,4.0,nice occasion fun inclass assign time bore common sens materi test essay studi guid broad not much evalu grade,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
4.0,3.0,grade final midterm 1 short paper 1 5 min speech attend paper speech easi test tough give studi guid cover lot materi answer email quickli,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
4.5,2.0,easi show class cover materi test class,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
4.5,2.0,pro pluss nice tri make class fun grade fair take note sure pass test assign 1 report movi 1 oral report pretti easygo class not hard,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
5.0,4.0,great person teacher easi style fun class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,1.0,nice smart ask us extra paper beyond rtc requir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,1.0,she cool sometim laugh upsettingli loud that not evil intent enjoy teach class critic write provid fun discuss time goe appropri pace easi keep hw amount moder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,nice teacher realli clear want us accomplish tri help student understand much possibl grade fair littl hard homework essay read walk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,addit two smile face fair hw fine encourag motiv consist practic understand prepar well final not failno trick teacher like sdsu journey dont regret school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,one best professor ive ever realli care student learn experi actual teach learn much peopl problem lazi one never go class plu she realli cute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,2.0,mari cute ladyfunni clothessh give exampl paper make write preparagraph discuss good bad essay dueveri clear 3 quizzeseasi got a97 ador class bore didnt add convers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,not know teacher world lazi dismiss class earli student not undrestand thay learn home lazi not want learn anyth may take class not worri either give grade pass not,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,3.0,not hot everyon say class usual bore drop grade bad attend essay assign easi enough though,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,1.0,damn liber think communist tri politic english not way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,3.0,one wordboringsooo bore lectur unorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,great teacher help understand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,4.0,not thatlectur bore take atend lower score miss class not help,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,never thought would like write class nice helpful good look also,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,1.0,she awesom professor never thought enjoy write til professor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,nicebeautifulkindhelp teacher motiv learn definitli make pleas show hand assign timeveri import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,1.0,grammar languag made easi tittl class excel professor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,great teacher hot help,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,doesnt realli teach class break us small group read group discuss everi class not much homework give studi guid exam not realli review overal not take not like group discuss cant teach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,4.0,lot read give review sheet exam not easi dont read chaptersy spread group everi class discuss readingsif hate read group discuss dont take class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,prof frances semest back call letter ref help later class read work fine open mind likeabl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,3.0,think women studi class would interest took anoth teacher frances seem like nice person heart right place dont think teacher materi class bore dread go sorri ms frances truth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,5.0,test extrem difficult unless actual memor 80 definit hand look test also littl class discuss homework read 100 page week attitud standoffish not understand gen ed im studio art major mean time consum work oth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,4.0,ugh ridicul frances nece person seem good heart attitud problem class bore could interest class make bore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5.0,read absolut ridiculuo chapter 80 page long need read next week discuss book bore thing absolutli would not interest say cant judg us base opinion discuss dont take,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,easiest class took semesterif take night let us earlyy get no break either waypretti much give answer test opinion paper class discuss 1 video tri get guest speakersther short oral present read choic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,3.0,didnt realli like class whole semest think good final grade dont surpris would like read memor entir book exam fill blank take class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,test impos read redicul memor stuff ultimatli mean noth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,lot read lot memor test tough even read classtim pretti much discuss read studi test okay not class look forward though,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,3.0,knowledg professor know she talk not tri push opinion topic rais class onto student class interest open eye new world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,1.0,awesom wish need take class would definitli find someth teach easi laid back realli know talk work field abus women,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
